metraj,sakht,rooms,elevator,parking,anbari,price,address
۱۹۱,قبل از ۱۳۷۰,۳,False,True,True,۹۸٬۹۵۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، قلهک
۲۴۰,۱۴۰۲,۴,True,True,True,۲۸٬۳۳۳٬۰۰۰ تومان,نیم ساعت پیش در تهران، چیتگر
۶۷,۱۳۸۵,۲,False,False,True,۳۱٬۰۴۴٬۰۰۰ تومان,نیم ساعت پیش در تهران، سنگلج
۵۳,۱۳۸۲,۱,False,False,False,۴۸٬۱۱۳٬۰۰۰ تومان,۱ ساعت پیش در تهران، بریانک
۵۳,۱۳۹۴,۱,True,True,True,۲۴٬۵۲۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهر زیبا
۵۴,۱۳۹۵,۱,True,False,False,۵۷٬۴۰۷٬۰۰۰ تومان,نیم ساعت پیش در تهران، نواب
۸۳,۱۳۹۵,۲,True,True,False,۱۰۴٬۸۱۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، فدک
۸۶,۱۳۹۱,۲,True,True,True,۵۲٬۹۰۶٬۰۰۰ تومان,۱ ساعت پیش در تهران، مولوی
۸۵,قبل از ۱۳۷۰,۲,True,False,False,۱۱۱٬۷۶۴٬۰۰۰ تومان,نیم ساعت پیش در تهران، اکباتان
۲۳۰,۱۳۹۸,۳,True,True,True,۲۴۷٬۸۲۶٬۰۰۰ تومان,۱ ساعت پیش در تهران، سعادت‌آباد
۷۰,۱۳۹۶,۲,True,True,True,۱۰۱٬۷۱۴٬۰۰۰ تومان,۱ ساعت پیش در تهران، سازمان برنامه
۶۷,۱۳۸۳,۲,True,True,True,۸۷٬۳۱۳٬۰۰۰ تومان,۱ ساعت پیش در تهران، کوی فردوس
۲۲۰,۱۳۸۲,۳,True,True,True,۱۷۰٬۴۵۴٬۰۰۰ تومان,نیم ساعت پیش در تهران، نیاوران
۱۹۵,۱۳۹۷,۳,True,True,True,۱۳۸٬۲۰۵٬۰۰۰ تومان,۱ ساعت پیش در تهران، هروی
۸۰,۱۴۰۲,۲,True,True,True,۹٬۹۳۷٬۰۰۰ تومان,نیم ساعت پیش در تهران، چیتگر
۱۲۵,۱۴۰۲,۳,True,True,True,۱۱۳٬۶۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، باغ فیض
۸۵,۱۳۸۸,۲,False,True,True,۱۰۵٬۸۸۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، سعادت‌آباد
۴۰,۱۳۸۸,۱,False,False,True,۴۲٬۵۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، خاوران
۶۹,۱۳۹۹,۲,True,True,True,۳۱٬۳۰۴٬۰۰۰ تومان,نیم ساعت پیش در تهران، تهران‌سر
۱۲۰,۱۳۸۲,۲,True,True,True,۱۷۵٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، فرمانیه
۱۵۰,۱۴۰۲,۳,True,True,True,۱۵٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهرک راه‌آهن
۱۶۵,۱۳۹۳,۳,True,True,True,۱۶۹٬۰۹۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، زعفرانیه
۱۵۰,۱۳۸۵,۳,True,True,True,۱۰۳٬۳۳۳٬۰۰۰ تومان,۱ ساعت پیش در تهران، هروی
۸۰,۱۳۹۲,۲,True,True,True,۱۰۷٬۵۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهران جنوبی
۱۳۰,۱۴۰۰,۲,True,True,True,۱۸۴٬۶۱۵٬۰۰۰ تومان,نیم ساعت پیش در تهران، سعادت‌آباد
۷۹,۱۳۸۶,۲,True,True,False,۴۸٬۱۰۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، جوادیه
۸۲,۱۳۸۵,۲,True,True,True,۷۵٬۶۰۹٬۰۰۰ تومان,۱ ساعت پیش در تهران، سازمان آب
۱۳۰,۱۳۸۳,۳,True,True,True,۱۵۸٬۸۴۶٬۰۰۰ تومان,نیم ساعت پیش در تهران، محمودیه
۱۱۷,۱۴۰۲,۲,True,True,True,۱۸۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، میرداماد
۲۴۵,۱۳۹۷,۳,True,True,True,۱۵۱٬۰۲۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، نیاوران
۱۴۰,۱۴۰۱,۳,True,True,True,۱۸۷٬۱۴۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، فرمانیه
۹۱,۱۳۸۸,۲,True,True,True,۱۲۹٬۶۷۰٬۰۰۰ تومان,۱ ساعت پیش در تهران، اختیاریه
۱۴۵,۱۳۹۶,۳,True,True,True,۱۴۳٬۴۴۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهرک غرب
۱۱۵,۱۳۹۲,۲,True,True,True,۸۱٬۷۳۹٬۰۰۰ تومان,۱ ساعت پیش در تهران، ارم
۲۴۵,۱۴۰۲,۳,True,True,True,۱۶۰٬۰۰۰٬۰۰۰ تومان,۱ ساعت پیش در تهران، هروی
۷۰,۱۳۸۸,۲,False,True,True,۵۲٬۵۷۱٬۰۰۰ تومان,۱ ساعت پیش در تهران، آهنگ
۹۷,۱۳۸۵,۲,True,True,True,۸۲٬۲۶۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، جنت‌آباد جنوبی
۷۶,۱۳۹۷,۲,True,True,False,۴۲٬۱۰۵٬۰۰۰ تومان,۱ ساعت پیش در تهران، کاروان
۷۵,۱۳۸۹,۲,True,True,True,۱۱۱٬۳۳۳٬۰۰۰ تومان,نیم ساعت پیش در تهران، پونک
۴۹,۱۳۹۸,۱,True,True,True,۳۹٬۷۹۵٬۰۰۰ تومان,۱ ساعت پیش در تهران، جیحون
۶۸,۱۴۰۱,۲,True,True,True,۱۱۰٬۲۹۴٬۰۰۰ تومان,۱ ساعت پیش در تهران، شهران جنوبی
۸۵,۱۳۸۷,۲,False,False,True,۳۲٬۳۵۲٬۰۰۰ تومان,۱ ساعت پیش در تهران، کاروان
۲۵۰,۱۴۰۲,۴,True,True,True,۱۶٬۰۰۰٬۰۰۰ تومان,۱ ساعت پیش در تهران، چیتگر
۴۶,۱۳۹۵,۱,True,False,True,۶۱٬۰۸۶٬۰۰۰ تومان,نیم ساعت پیش در تهران، هاشمی
۸۲,۱۳۸۵,۲,False,True,True,۷۶٬۲۱۹٬۰۰۰ تومان,۱ ساعت پیش در تهران، پونک
۸۰,۱۳۹۶,۲,True,True,False,۵۳٬۷۵۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، جیحون
۶۲,۱۳۹۷,۱,True,True,True,۱۰۶٬۴۵۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، پونک
۳۷,۱۳۸۲,۱,False,False,True,۴۴٬۵۹۴٬۰۰۰ تومان,۱ ساعت پیش در تهران، کاروان
